"","IL_county_pop.Geography","IL_county_pop..Population.Estimate..as.of.July.1....2016...Both.Sexes..Total."
"1","Adams",66578
"2","Alexander",6478
"3","Bond",16824
"4","Boone",53503
"5","Brown",6762
"6","Bureau",33359
"7","Calhoun",4894
"8","Carroll",14539
"9","Cass",12676
"10","Champaign",208419
"11","Christian",33309
"12","Clark",15938
"13","Clay",13300
"14","Clinton",37729
"15","Coles",52343
"16","Cook",5203499
"17","Crawford",19308
"18","Cumberland",10858
"19","DeKalb",104528
"20","De Witt",16226
"21","Douglas",19630
"22","DuPage",929368
"23","Edgar",17566
"24","Edwards",6523
"25","Effingham",34386
"26","Fayette",21789
"27","Ford",13575
"28","Franklin",39156
"29","Fulton",35536
"30","Gallatin",5212
"31","Greene",13093
"32","Grundy",50437
"33","Hamilton",8061
"34","Hancock",18508
"35","Hardin",4024
"36","Henderson",6869
"37","Henry",49280
"38","Iroquois",28334
"39","Jackson",58870
"40","Jasper",9536
"41","Jefferson",38460
"42","Jersey",22025
"43","Jo",21770
"44","Johnson",12902
"45","Kane",531715
"46","Kankakee",110008
"47","Kendall",124695
"48","Knox",50938
"49","Lake",703047
"50","LaSalle",110642
"51","Lawrence",16377
"52","Lee",34251
"53","Livingston",36526
"54","Logan",29527
"55","McDonough",30996
"56","McHenry",307004
"57","McLean",172418
"58","Macon",106550
"59","Macoupin",45908
"60","Madison",265759
"61","Marion",38140
"62","Marshall",11939
"63","Mason",13507
"64","Massac",14658
"65","Menard",12516
"66","Mercer",15730
"67","Monroe",34068
"68","Montgomery",28952
"69","Morgan",34277
"70","Moultrie",14827
"71","Ogle",51273
"72","Peoria",185006
"73","Perry",21357
"74","Piatt",16560
"75","Pike",15950
"76","Pope",4157
"77","Pulaski",5619
"78","Putnam",5611
"79","Randolph",32621
"80","Richland",15930
"81","Rock",144784
"82","St. Clair",262759
"83","Saline",24307
"84","Sangamon",197499
"85","Schuyler",6923
"86","Scott",5053
"87","Shelby",21717
"88","Stark",5776
"89","Stephenson",45624
"90","Tazewell",134385
"91","Union",17212
"92","Vermilion",78111
"93","Wabash",11492
"94","Warren",17378
"95","Washington",14154
"96","Wayne",16396
"97","White",14292
"98","Whiteside",56536
"99","Will",689529
"100","Williamson",67560
"101","Winnebago",285873
"102","Woodford",39140
