"","IL_County_income$GeoName","IL_County_income$`2016`"
"1","Illinois",663338023
"2","Adams",2810914
"3","Alexander",206981
"4","Bond",559836
"5","Boone",2253951
"6","Brown",190657
"7","Bureau",1305629
"8","Calhoun",180483
"9","Carroll",605052
"10","Cass",484594
"11","Champaign",8926464
"12","Christian",1261475
"13","Clark",606483
"14","Clay",471764
"15","Clinton",1585674
"16","Coles",1903948
"17","Cook",294875826
"18","Crawford",825492
"19","Cumberland",421901
"20","DeKalb",3842626
"21","De Witt",707969
"22","Douglas",878428
"23","DuPage",61404832
"24","Edgar",715749
"25","Edwards",227864
"26","Effingham",1523708
"27","Fayette",665243
"28","Ford",669842
"29","Franklin",1323138
"30","Fulton",1218392
"31","Gallatin",223612
"32","Greene",463839
"33","Grundy",2421170
"34","Hamilton",342940
"35","Hancock",759431
"36","Hardin",137982
"37","Henderson",272030
"38","Henry",2110100
"39","Iroquois",1184622
"40","Jackson",2008935
"41","Jasper",373741
"42","Jefferson",1413995
"43","Jersey",833025
"44","Jo Daviess",997708
"45","Johnson",335872
"46","Kane",24566385
"47","Kankakee",4199107
"48","Kendall",5555452
"49","Knox",1957960
"50","Lake",51291371
"51","LaSalle",4493789
"52","Lawrence",558717
"53","Lee",1321217
"54","Livingston",1477511
"55","Logan",1043856
"56","McDonough",1072045
"57","McHenry",15427535
"58","McLean",7882623
"59","Macon",4742238
"60","Macoupin",1705731
"61","Madison",11305363
"62","Marion",1486718
"63","Marshall",498427
"64","Mason",511505
"65","Massac",514976
"66","Menard",520782
"67","Mercer",646805
"68","Monroe",1782381
"69","Montgomery",997307
"70","Morgan",1290164
"71","Moultrie",758321
"72","Ogle",2133763
"73","Peoria",8819746
"74","Perry",765366
"75","Piatt",761609
"76","Pike",601637
"77","Pope",126115
"78","Pulaski",199681
"79","Putnam",266010
"80","Randolph",1113819
"81","Richland",597790
"82","Rock Island",6034217
"83","St. Clair",10910034
"84","Saline",906143
"85","Sangamon",8793346
"86","Schuyler",284271
"87","Scott",184583
"88","Shelby",798769
"89","Stark",213931
"90","Stephenson",1799562
"91","Tazewell",5911752
"92","Union",625467
"93","Vermilion",2871333
"94","Wabash",483532
"95","Warren",640826
"96","Washington",688464
"97","Wayne",620161
"98","White",633100
"99","Whiteside",2262831
"100","Will",33097580
"101","Williamson",2759830
"102","Winnebago",11407382
"103","Woodford",1883170
