"","RegionName","Metro","fiv_bed_price"
"1","Cook","Chicago",478270
"2","Du Page","Chicago",570220
"3","Lake","Chicago",612270
"4","Will","Chicago",371150
"5","Kane","Chicago",346330
"6","McHenry","Chicago",321630
"7","Winnebago","Rockford",174030
"8","Champaign","Champaign-Urbana",296360
"9","Sangamon","Springfield",302060
"10","Peoria","Peoria",203280
"11","McLean","Bloomington",251840
"12","Rock Island","Davenport",219690
"13","Tazewell","Peoria",144710
"14","Kendall","Chicago",300790
"15","Kankakee","Kankakee",148010
"16","DeKalb","Chicago",217020
"17","Henry","Davenport",131870
"18","Stephenson","Freeport",154010
"19","Livingston","Pontiac",123580
"20","Christian","Taylorville",104690
